CSA1,CSA2,CSA3,CSA4,HSA1,HSA2,HSA3,HSA4,WE1,WE2,WE3,WE4,WE5,WE6,WE7,WE8,WE9,WE10,WE11,WE12,WE13,WE14,WE15,WE16,WE17,OC1,OC2,OC3,OC4,OC5,OC6,OC7,OC8,OC9,OC10,OC11,OC12,OC13,JA1,JA2,JA3,JA4,JA5,JA6,JA7,JA8,ICP1,ICP2,ICP3,ICP4,ICP5,ICP6,ICP7,ICP8,ICP9,ICP10,ICP11,ICP12,ICP13,ICP14,ICP15,ICP16
6,6,6,6,3,2,2,2,7,7,7,6,6,7,7,7,7,7,7,6,4,6,7,7,6,7,7,7,7,7,7,6,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,6,4,6,6,6,6,6
6,6,6,7,3,2,2,2,7,7,7,6,7,7,6,7,6,7,7,5,6,6,7,7,6,7,7,7,6,5,6,6,5,6,6,6,6,5,7,7,7,7,7,7,7,7,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,6
7,7,7,7,3,2,3,3,7,7,7,5,5,7,7,7,7,7,7,1,6,4,4,6,4,7,6,6,6,5,6,6,3,6,6,7,6,6,6,3,6,3,6,6,6,3,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6
6,6,6,6,6,6,6,6,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,6,6,6,3,6,4,7,7,7,6,4,6,6,6,7,6,7,7,6,6,6,4,6,6,6,6
6,4,6,6,6,4,4,4,7,6,7,6,7,7,7,7,7,7,7,7,6,5,7,7,5,6,6,6,6,5,6,6,6,6,6,6,6,6,4,4,4,5,6,6,6,6,6,5,5,6,6,6,5,6,5,5,5,5,5,5,5,7
6,6,6,7,3,3,3,3,6,6,6,5,6,6,7,7,7,7,6,7,1,1,6,7,1,7,7,7,7,5,7,5,5,5,7,5,4,3,7,7,7,7,7,7,7,7,5,5,5,7,7,7,7,7,6,5,4,4,5,7,7,7
5,5,6,5,6,4,4,5,5,5,6,5,6,5,3,5,5,5,5,5,3,3,5,5,2,4,4,4,4,5,4,4,3,4,3,4,4,3,4,4,5,6,4,4,4,4,4,3,3,4,5,4,4,4,5,4,4,3,4,6,6,5
6,6,6,7,3,3,2,3,7,7,7,6,7,7,7,7,6,7,7,5,5,5,7,5,5,5,6,6,5,3,5,3,3,5,4,4,4,4,5,3,6,5,6,6,6,6,4,4,5,6,6,6,6,6,5,5,4,4,5,6,6,6
6,6,6,6,2,2,2,2,5,6,5,5,5,5,6,7,6,7,6,6,5,6,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,4,5,6,6,3,3,4,4,6,6,6,6,6,6,6,6,6,7,6,6
6,6,6,7,3,3,3,3,6,5,5,5,5,5,5,6,5,6,5,5,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,4,3,4,6,6,6,6,6,4,3,4,4,3,3,4,5
5,5,5,5,2,2,2,2,6,6,6,5,5,5,5,6,6,6,3,3,3,3,5,5,3,5,5,5,6,6,6,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,3,3,6,5,6,6,5,5,4,4,5,5,5,5
6,6,6,6,3,2,2,3,5,5,6,6,7,7,5,5,7,7,7,7,7,7,1,6,6,6,6,6,5,6,5,3,3,5,5,2,2,2,5,5,5,3,5,6,6,6,2,2,2,6,6,6,6,6,6,3,1,5,2,5,5,6
6,6,6,6,3,3,3,3,6,6,6,6,6,6,5,5,5,5,5,6,6,5,5,6,6,6,6,4,5,6,6,5,5,5,6,5,5,6,5,4,4,4,5,6,4,5,4,4,4,5,3,5,4,4,4,4,3,3,4,4,4,4
6,6,6,6,5,2,6,6,6,6,5,5,5,6,6,6,6,6,6,3,2,5,3,6,3,5,6,6,4,5,6,6,5,6,6,4,2,3,6,5,5,4,6,6,5,6,6,6,6,6,6,6,6,4,6,5,4,4,6,6,6,6
6,6,6,6,3,2,1,2,6,6,5,5,7,7,7,6,7,7,3,5,3,3,5,5,5,6,6,5,4,2,6,5,4,4,4,3,2,2,7,6,6,6,5,4,6,7,5,5,6,7,6,6,6,6,6,6,3,4,6,6,6,6
6,6,4,3,2,3,2,2,6,6,6,3,3,5,5,6,7,5,6,6,5,6,6,6,5,4,6,6,6,6,5,3,4,5,6,4,3,3,3,3,3,4,6,6,6,5,6,6,6,6,6,5,6,6,6,6,4,4,4,6,6,6
6,6,6,6,3,5,6,3,5,5,5,5,3,5,5,5,5,5,5,3,3,3,3,5,5,5,6,5,5,5,5,4,3,4,4,3,3,3,4,4,3,4,5,5,5,4,3,2,3,5,5,5,5,5,4,4,3,3,3,5,5,5
6,4,6,4,5,3,3,3,3,3,2,5,5,5,5,5,5,5,2,6,6,5,2,3,5,2,4,4,3,5,4,4,5,5,4,4,3,2,5,5,6,6,4,5,4,5,6,5,6,3,5,4,5,5,4,4,2,4,6,4,4,4
6,5,6,6,3,3,3,3,6,6,6,5,5,7,7,7,6,7,7,5,5,3,3,5,1,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,6,4,6,2,2,3,6,6,6
6,6,6,4,4,6,6,6,5,5,5,5,5,6,6,5,6,6,6,6,6,6,5,6,5,4,6,6,6,5,6,6,6,6,6,6,5,6,5,5,5,5,6,6,5,5,6,5,6,6,6,5,6,6,4,4,4,4,5,6,5,6
6,6,1,6,2,2,2,2,7,7,7,7,7,7,6,7,6,7,7,7,6,7,7,7,5,7,7,7,7,6,7,7,7,7,7,7,7,7,4,4,4,4,7,7,7,4,4,4,6,7,7,6,7,6,4,4,4,4,4,6,4,6
5,5,5,6,4,3,3,3,5,5,6,6,5,3,5,3,5,5,5,5,6,6,5,7,5,5,5,5,5,4,5,3,4,5,3,2,4,1,3,3,4,3,4,4,4,5,3,3,5,4,5,4,5,5,5,4,3,3,3,5,5,6
5,5,5,5,3,3,3,4,5,5,6,3,6,5,5,3,3,7,5,5,5,3,3,7,5,5,6,4,4,5,5,4,5,5,5,4,4,4,3,3,3,3,6,6,4,5,3,4,3,5,5,5,5,4,4,4,3,3,3,6,5,6
4,6,6,6,5,3,3,4,6,6,7,5,2,7,5,5,7,5,5,5,6,6,5,5,5,4,4,4,4,4,4,4,2,4,3,5,4,2,6,6,7,7,7,7,6,4,4,4,6,7,6,6,6,6,6,5,4,6,2,5,5,6
6,6,6,6,3,3,3,3,7,7,7,7,7,7,7,7,7,7,7,5,1,1,7,7,1,6,6,6,6,6,6,6,6,6,6,3,3,2,6,6,6,6,6,6,6,6,6,6,6,6,4,6,6,6,6,4,4,4,4,6,6,6
3,5,6,6,3,3,4,3,6,5,5,6,6,7,5,7,7,7,5,6,5,6,5,7,5,4,6,6,6,5,6,5,5,6,6,6,6,6,4,4,6,5,6,6,5,6,1,1,1,7,7,5,6,6,5,4,4,4,1,5,5,5
6,7,7,6,2,1,2,1,6,5,5,6,6,5,5,5,7,5,5,7,7,7,5,7,6,2,4,2,1,1,6,1,1,3,1,2,2,1,7,6,6,6,6,7,7,6,7,6,6,6,6,7,7,7,7,7,1,6,6,7,7,7
3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,7,6,6,5,5,5,5,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,5,4,4,4,4,4,3,4,4,4,4,5
